,CODIGO_MUNICIPIO_x,año_test,numero_muestras,positivo,negativo
0,5001.0,2021.0,526.0,14.0,512.0
1,5002.0,2021.0,240.0,25.0,215.0
2,5004.0,2021.0,51.0,2.0,49.0
3,5031.0,2021.0,267.0,28.0,239.0
4,5038.0,2021.0,830.0,29.0,802.0
5,5040.0,2021.0,1.0,0.0,1.0
6,5042.0,2021.0,185.0,2.0,183.0
7,5059.0,2021.0,12.0,0.0,12.0
8,5079.0,2021.0,192.0,13.0,179.0
9,5086.0,2021.0,3899.0,181.0,3718.0
10,5088.0,2021.0,1541.0,68.0,1476.0
11,5107.0,2021.0,40.0,3.0,44.0
12,5120.0,2021.0,165.0,0.0,165.0
13,5129.0,2021.0,13.0,3.0,10.0
14,5134.0,2021.0,52.0,3.0,49.0
15,5148.0,2021.0,587.0,14.0,573.0
16,5150.0,2021.0,147.0,7.0,140.0
17,5154.0,2021.0,417.0,28.0,389.0
18,5190.0,2021.0,5.0,1.0,4.0
19,5206.0,2021.0,52.0,1.0,51.0
20,5209.0,2021.0,20.0,0.0,20.0
21,5237.0,2021.0,3942.0,254.0,3688.0
22,5264.0,2021.0,8245.0,251.0,7995.0
23,5266.0,2021.0,250.0,4.0,246.0
24,5282.0,2021.0,431.0,17.0,322.0
25,5284.0,2021.0,451.0,24.0,427.0
26,5308.0,2021.0,135.0,5.0,130.0
27,5313.0,2021.0,4.0,0.0,4.0
28,5318.0,2021.0,136.0,5.0,131.0
29,5368.0,2021.0,294.0,2.0,292.0
30,5376.0,2021.0,742.0,20.0,722.0
31,5376.0,2022.0,25.0,1.0,24.0
32,5400.0,2021.0,1427.0,88.0,1349.0
33,5411.0,2021.0,16.0,0.0,16.0
34,5425.0,2021.0,132.0,15.0,116.0
35,5440.0,2021.0,79.0,14.0,65.0
36,5495.0,2021.0,332.0,0.0,332.0
37,5579.0,2018.0,6.0,0.0,6.0
38,5579.0,2021.0,760.0,53.0,703.0
39,5591.0,2021.0,644.0,18.0,626.0
40,5607.0,2021.0,134.0,1.0,133.0
41,5615.0,2021.0,1051.0,49.0,1002.0
42,5642.0,2021.0,25.0,1.0,24.0
43,5647.0,2021.0,325.0,18.0,309.0
44,5656.0,2021.0,293.0,37.0,258.0
45,5658.0,2021.0,408.0,33.0,378.0
46,5660.0,2021.0,62.0,1.0,61.0
47,5664.0,2011.0,10.0,0.0,10.0
48,5664.0,2021.0,10830.0,387.0,10443.0
49,5664.0,2022.0,18.0,0.0,18.0
50,5665.0,2021.0,18.0,1.0,17.0
51,5667.0,2021.0,255.0,11.0,244.0
52,5670.0,2021.0,51.0,0.0,51.0
53,5679.0,2021.0,1.0,0.0,1.0
54,5686.0,2020.0,51.0,1.0,51.0
55,5686.0,2021.0,16251.0,736.0,15518.0
56,5697.0,2021.0,59.0,2.0,57.0
57,5756.0,2021.0,218.0,6.0,213.0
58,5761.0,2021.0,174.0,2.0,172.0
59,5789.0,2021.0,117.0,8.0,109.0
60,5809.0,2021.0,77.0,0.0,77.0
61,5837.0,2021.0,2.0,0.0,2.0
62,5854.0,2021.0,77.0,3.0,77.0
63,5861.0,2021.0,407.0,9.0,398.0
64,5887.0,2021.0,2159.0,67.0,2096.0
65,5887.0,2022.0,23.0,0.0,23.0
66,5890.0,2021.0,81.0,5.0,76.0
67,5893.0,2021.0,106.0,2.0,104.0
68,11001.0,2018.0,2.0,0.0,2.0
69,11001.0,2021.0,699.0,49.0,643.0
70,13052.0,2021.0,14.0,0.0,14.0
71,13074.0,2021.0,3.0,0.0,3.0
72,13300.0,2021.0,370.0,3.0,367.0
73,15051.0,2021.0,212.0,39.0,173.0
74,15087.0,2021.0,173.0,2.0,171.0
75,15131.0,2021.0,8.0,1.0,7.0
76,15162.0,2021.0,119.0,20.0,99.0
77,15176.0,2021.0,560.0,0.0,560.0
78,15204.0,2021.0,140.0,1.0,70.0
79,15238.0,2021.0,497.0,0.0,311.0
80,15272.0,2021.0,306.0,13.0,293.0
81,15276.0,2021.0,136.0,10.0,126.0
82,15322.0,2021.0,127.0,11.0,116.0
83,15362.0,2021.0,181.0,3.0,119.0
